id	c_type	field	class	owner	release_rule	source_path	source_lines	author	reviewer_1	reviewer_2	status
program-own-001	block	first and last	aliased boundary pointers	the block's instruction list	block_free walks first through next and destroys every instruction; joining transfers list reachability without copying	upstream/jq/src/compile.c	97-118	codex-facts-program			proposed
program-own-002	inst	next and prev	aliased intrusive links	the containing block list	inst_free releases neither neighbor; block_take or block_take_last detaches links and block_free destroys reachable nodes	upstream/jq/src/compile.c	106-118	codex-facts-program			proposed
program-own-003	inst	symbol	owned optional string	the instruction	inst_new initializes null; generators allocate with strdup; inst_free releases with jv_mem_free	upstream/jq/src/compile.c	67-94	codex-facts-program			proposed
program-own-004	inst	imm.constant	owned reference-counted jv	the constant-bearing instruction	generators transfer the incoming jv; inst_free calls jv_free when opcode flags include OP_HAS_CONSTANT	upstream/jq/src/compile.c	85-94	codex-facts-program			proposed
program-own-005	inst	imm.target	aliased pointer	the containing compiler block	no release occurs; the target must remain reachable until branch relocation completes	upstream/jq/src/compile.c	191-210	codex-facts-program			proposed
program-own-006	inst	imm.cfunc	borrowed pointer	the external C-function table	no release occurs in inst_free; compilation copies the pointed-to cfunction into the root symbol table	upstream/jq/src/compile.c	1068-1077	codex-facts-program			proposed
program-own-007	inst	locfile	reference-counted reference	the instruction	gen_location obtains locfile_retain for each newly located instruction and inst_free calls locfile_free	upstream/jq/src/compile.c	120-128	codex-facts-program			proposed
program-own-008	inst	bound_by	aliased pointer	the containing compiler graph	no release occurs; binding and compilation require the binder instruction to remain alive through reference analysis and encoding	upstream/jq/src/compile.c	306-349	codex-facts-program			proposed
program-own-009	inst	subfn	owned block	the instruction	inst_new initializes an empty block; inst_free calls block_free; compilation clears a recursively consumed function body to avoid a second free	upstream/jq/src/compile.c	85-94	codex-facts-program			proposed
program-own-010	inst	arglist	owned block	the instruction	inst_new initializes an empty block and inst_free calls block_free; call expansion transfers nodes out with block_take	upstream/jq/src/compile.c	85-94	codex-facts-program			proposed
program-own-011	gen_const	constant	transferred	the returned LOADK instruction	the function stores the jv directly and eventual instruction cleanup calls jv_free	upstream/jq/src/compile.c	153-158	codex-facts-program			proposed
program-own-012	block_const	return value	reference-counted copy	the caller	jv_copy adds a reference to the instruction constant and the caller must eventually jv_free it	upstream/jq/src/compile.c	177-189	codex-facts-program			proposed
program-own-013	block_join	a and b instruction lists	transferred	the returned block	the input lists are spliced and must not be independently freed after joining	upstream/jq/src/compile.c	240-263	codex-facts-program			proposed
program-own-014	block_take	returned inst	transferred	the caller	the instruction is detached from the input block and the caller must reattach it or call inst_free	upstream/jq/src/compile.c	106-118	codex-facts-program			proposed
