id	area	claim	source_path	source_lines	author	reviewer_1	reviewer_2	status
json-001	parsing-numbers	Outside strings, the scanner accumulates bytes that classify as LITERAL into a length-delimited token; check_literal sends leading t/f tokens and leading n followed by u through exact keyword-pattern checks, rejects a leading apostrophe with the string-literal diagnostic, and sends other tokens to numeric parsing after writing a terminator at tokenpos. The C-string numeric parsers validate only the NUL-terminated prefix through the first embedded NUL, not any accumulated suffix after that NUL.	upstream/jq/src/jv_parse.c	506-545,559-577,667-680	yevbar	json-corrections-review-a	json-corrections-review-b	accepted
json-002	parsing-numbers	With USE_DECNUM, the numeric branch calls jv_number_with_literal and maps any invalid return to "Invalid numeric literal"; the callee returns JV_INVALID when DEC_Conversion_syntax is set during conversion.	upstream/jq/src/jv_parse.c;upstream/jq/src/jv.c	529-537;576-592,669-671	yevbar	json-corrections-review-a	json-corrections-review-b	accepted
json-003	parsing-numbers	Without USE_DECNUM, a numeric token is accepted only when jvp_strtod returns a non-null end pointer that points at NUL; this checks full consumption of the NUL-terminated C-string prefix, but an embedded NUL can hide an accumulated token suffix from the check. Otherwise parsing produces "Invalid numeric literal".	upstream/jq/src/jv_parse.c	531-545	yevbar	json-corrections-review-a	json-corrections-review-b	accepted
json-004	parsing-numbers	The pinned fixtures exercise integers and signed integers but explicitly record that substantially more number parser testing is needed.	upstream/jq/tests/jq.test	5-37	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-005	parsing-escapes	JSON strings decode \\", \\\\, \\/, \\b, \\f, \\t, \\n, and \\r escapes; any other one-character escape produces "Invalid escape".	upstream/jq/src/jv_parse.c	446-466,492-494	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-006	parsing-escapes	A \\u escape requires exactly four hexadecimal digits; short and non-hexadecimal forms produce distinct errors.	upstream/jq/src/jv_parse.c	467-475	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-007	parsing-unicode	A high UTF-16 surrogate must be immediately followed by a \\u low-surrogate escape; the pair is combined into one codepoint, while a missing or non-low second escape is rejected.	upstream/jq/src/jv_parse.c	476-489	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-008	parsing-unicode	A lone low-surrogate escape does not enter the high-surrogate pairing branch and is passed directly to jvp_utf8_encode.	upstream/jq/src/jv_parse.c	467-489	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-009	parsing-unicode	jv_string_sized replaces each badly encoded UTF-8 point in an invalid input byte slice with U+FFFD.	upstream/jq/src/jv.c	1112-1133,1278-1283	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-010	parsing-nul	An escaped \\u0000 is decoded into a zero byte and retained because the parser constructs the result with an explicit byte length.	upstream/jq/src/jv_parse.c	467-501	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-011	parsing-nul	A literal NUL or any other unescaped U+0000 through U+001F byte inside a JSON string is rejected as a control character.	upstream/jq/src/jv_parse.c	495-501	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
