id	area	claim	source_path	source_lines	author	reviewer_1	reviewer_2	status
program-001	block IR	A compiler block is an optionally empty sequence of instructions represented by first and last pointers into a doubly linked instruction list.	upstream/jq/src/compile.c	11-21	codex-facts-program			disputed
program-002	instruction form	Each compiler instruction records an opcode and an immediate union capable of holding a 16-bit integer, branch target instruction, jv constant, or C-function pointer.	upstream/jq/src/compile.c	23-34	codex-facts-program			disputed
program-003	source locations	An instruction carries a source location and locfile pointer; assigning a location only fills instructions still at UNKNOWN_LOCATION and retains the locfile for each assignment.	upstream/jq/src/compile.c	120-128	codex-facts-program	codex-program-r1		proposed
program-004	lexical binding	A binding-capable instruction has three source-level states: null bound_by means a free reference, self means a binder, and another instruction means a reference to that binder.	upstream/jq/src/compile.c	39-49	codex-facts-program	codex-program-r1		proposed
program-005	nested blocks	CLOSURE_CREATE uses subfn for its function body and arglist for formals, while CALL_JQ uses arglist for actual arguments.	upstream/jq/src/compile.c	54-59	codex-facts-program	codex-program-r1		proposed
program-006	opcode schema	The opcode table derives opcode identity, immediate category, stack inputs, and stack outputs from opcode_list.h; immediate categories determine flags and base lengths measured in 16-bit units.	upstream/jq/src/bytecode.c	8-24	codex-facts-program	codex-program-r1		proposed
program-007	opcode forms	The bytecode instruction set includes constants, stack operations, lexical variables, indexing and iteration, forward control flow, collection, calls, closures, parser-only definitions and imports, labels, destructuring, and constant errors.	upstream/jq/src/opcode_list.h	1-51	codex-facts-program			disputed
program-008	operands	Constant instructions have a two-unit form, variable instructions three units, branches two units, C calls three units, jq calls a four-unit base, and definition pseudo-operations emit zero units.	upstream/jq/src/bytecode.c	9-17	codex-facts-program	codex-program-r1		proposed
program-009	constants	gen_const, gen_error, and gen_op_pushk_under transfer the supplied jv into the instruction immediate rather than copying it.	upstream/jq/src/compile.c	146-174	codex-facts-program	codex-program-r1		proposed
program-010	constants	block_const returns a jv_copy of a LOADK or PUSHK_UNDER immediate, leaving the instruction's constant intact.	upstream/jq/src/compile.c	177-189	codex-facts-program	codex-program-r1		proposed
program-011	subexpressions	A no-op subexpression lowers to DUP, a single LOADK lowers to PUSHK_UNDER after consuming the original block, and every other subexpression is wrapped by SUBEXP_BEGIN and SUBEXP_END.	upstream/jq/src/compile.c	589-599	codex-facts-program	codex-program-r1		proposed
program-012	block construction	block_append splices the second list into the first by changing boundary links and adopts its last pointer; block_join returns that combined list without cloning instructions.	upstream/jq/src/compile.c	240-263	codex-facts-program	codex-program-r1		proposed
program-013	pipe	The parser lowers pipe by directly joining the left and right instruction blocks in sequence.	upstream/jq/src/parser.y	337-339	codex-facts-program	codex-program-r1		proposed
program-014	comma	Comma lowers to a FORK targeting a later JUMP, followed by the left branch, the JUMP, and the right branch; the JUMP target is then set to the end of the combined block.	upstream/jq/src/compile.c	601-607	codex-facts-program	codex-program-r1		proposed
program-015	alternative	The alternative operator initializes a fresh found variable to false, forks through the left filter, marks truthy results as found, and backtracks into the right filter only when no qualifying result was found.	upstream/jq/src/compile.c	869-899	codex-facts-program	codex-program-r1		proposed
program-016	conditionals	A conditional duplicates the input, evaluates the condition as a subexpression, removes the condition result, and uses JUMP_F plus a forward JUMP to select the true or false block.	upstream/jq/src/compile.c	1007-1011	codex-facts-program	codex-program-r1		proposed
program-017	try	gen_try emits TRY_BEGIN with a handler target, the protected expression, TRY_END, a forward JUMP over the handler, and the handler; an absent handler becomes DUP then POP.	upstream/jq/src/compile.c	1013-1047	codex-facts-program	codex-program-r1		proposed
program-018	try semantics	The compiler comments distinguish protected-expression backtracking, exceptions raised by protected output consumers, direct protected exceptions, and exceptions raised by the handler or following code.	upstream/jq/src/compile.c	1024-1038	codex-facts-program	codex-program-r1		proposed
program-019	reduce	Reduce stores init in a fresh result variable, forks into a loop that duplicates the source input, destructures each source value, loads and updates the result, stores it, and backtracks, then loads the final result.	upstream/jq/src/compile.c	829-844	codex-facts-program	codex-program-r1		proposed
program-020	foreach	Foreach stores init in a fresh state variable, evaluates the source, destructures each value for update and extract, duplicates the updated state before storing it, and emits the extract result.	upstream/jq/src/compile.c	846-867	codex-facts-program	codex-program-r1		proposed
program-021	destructuring	Alternating destructuring discovers every unbound variable name, initializes shared binders to null, wraps alternatives in DESTRUCTURE_ALT branches, and jumps successful alternatives to the final matcher/body.	upstream/jq/src/compile.c	772-827	codex-facts-program	codex-program-r1		proposed
program-022	destructuring	A destructuring alternative changes STOREV operations to STOREVN and stores the matcher block inside a DESTRUCTURE_ALT instruction.	upstream/jq/src/compile.c	940-949	codex-facts-program	codex-program-r1		proposed
program-023	destructuring	Array patterns generate a numeric index that advances from the prior matcher, then DUP, subexpression index, INDEX, current matcher, and prior matchers; object patterns use DUP, key subexpression, INDEX, then the matcher.	upstream/jq/src/compile.c	955-983	codex-facts-program	codex-program-r1		proposed
program-024	destructuring	The parser lowers pattern variables to unbound STOREV instructions and recursively builds array and object matchers, including object shorthand that binds both the whole selected value and nested fields.	upstream/jq/src/parser.y	774-824	codex-facts-program	codex-program-r1		proposed
program-025	lexical binding	Binding scans instructions by compatible flags, symbol name, and function arity, marks matched references with their binder, and recurses through both subfunction and argument blocks.	upstream/jq/src/compile.c	306-349	codex-facts-program	codex-program-r1		proposed
program-026	labels and breaks	Wildcard binding recognizes internal break names *1 through *3 by nesting distance and increments that distance when crossing anonymous-label variable binders.	upstream/jq/src/compile.c	319-337	codex-facts-program			disputed
program-027	labels and breaks	A label creates a generated label value, wildcard-binds the internal label variable, and lowers break handling to try/catch that backtracks only when the caught value equals that label.	upstream/jq/src/compile.c	1049-1066	codex-facts-program	codex-program-r1		proposed
program-028	compile errors	An unbound internal break reports break outside a labeled control structure; an unbound LOADV reports an undefined variable; other unbound calls report undefined name and arity.	upstream/jq/src/compile.c	1124-1146	codex-facts-program	codex-program-r1		proposed
program-029	function definitions	gen_function reversely processes formals, converts regular formals to closure parameters plus value bindings, binds call references in the body, stores body and formals under CLOSURE_CREATE, records arity, and self-binds recursive calls.	upstream/jq/src/compile.c	548-567	codex-facts-program	codex-program-r1		proposed
program-030	function arguments	A jq call begins as an unbound CALL_JQ whose arglist owns pseudo-instruction arguments and whose nactuals counts closure-create, closure-parameter, or C-closure forms.	upstream/jq/src/compile.c	290-304	codex-facts-program			disputed
