id	area	claim	source_path	source_lines	author	reviewer_1	reviewer_2	status
builtins-001	registration	The native builtin registry binds the conversion, key, string, path, ordering, environment, input, and message primitives by name and arity; libm entries are generated from the separately configured libm table.	upstream/jq/src/builtin.c	1877-1963	codex-facts-builtin-inventory			proposed
builtins-002	cardinality	Native builtins return one jv result (a value or an invalid error), while jq-library map collects every result of f for every element and map_values uses update assignment, so their observable cardinality depends on evaluator stream and update semantics.	upstream/jq/src/builtin.jq	3-4,34-34	codex-facts-builtin-inventory			proposed
builtins-003	type-length	type always returns the jq kind name; length returns array/object counts, string codepoint count, numeric absolute value, or zero for null, and errors for booleans.	upstream/jq/src/builtin.c	483-500,1171-1175	codex-facts-builtin-inventory			proposed
builtins-004	keys-has	keys accepts arrays and objects and delegates to jv_keys, keys_unsorted preserves object iteration order, and has accepts null, object/string, or array/number pairs while treating NaN array indices as false and rejecting mismatched kinds.	upstream/jq/src/jv_aux.c	241-273,542-586	codex-facts-builtin-inventory			proposed
builtins-005	conversion	tonumber is identity on numbers, parses an entire string according to the configured number backend, and errors otherwise; tostring is identity on strings and compact-dumps every other value; tojson compact-dumps and fromjson accepts only strings then parses exactly one JSON value.	upstream/jq/src/builtin.c	428-463,502-508	codex-facts-builtin-inventory			proposed
builtins-006	collection	map, map_values, reverse, flatten, range, and join are jq-library definitions composed from iteration, collection, reduce, update, slicing, arithmetic, type tests, conversion, and error; range is zero-to-many, while the others shown collect or reduce to one result unless a dependency errors or their filter argument branches.	upstream/jq/src/builtin.jq	3-3,34-34,44-44,65-72,151-154	codex-facts-builtin-inventory			proposed
builtins-007	ordering	sort, group, and unique helpers require same-length value and key arrays, order by jq comparison, sort stably by original index, and make group and unique operate on that sorted order.	upstream/jq/src/jv_aux.c	588-760	codex-facts-builtin-inventory			proposed
builtins-008	ordering-wrappers	sort_by, group_by, unique_by, min_by, and max_by evaluate the supplied filter into a per-input array of keys before calling native implementations, so a key filter with zero or multiple results affects the lexicographic key and does not directly emit extra top-level results.	upstream/jq/src/builtin.jq	5-9	codex-facts-builtin-inventory			proposed
builtins-009	path-values	getpath and setpath require an array path and recurse over its components; an empty get path returns the input and an empty set path returns the replacement; delpaths requires an array of array paths, sorts paths before deletion, treats no paths as no-op, and an empty first path as delete everything to null.	upstream/jq/src/jv_aux.c	378-527	codex-facts-builtin-inventory			proposed
builtins-010	path-evaluator	PATH_BEGIN and PATH_END execution save and restore evaluator path state, check that the traversed value remains intact, and yield the recorded path, so path-producing filters require resumable evaluator path-state support.	upstream/jq/src/execute.c	228-270,629-677	codex-facts-builtin-inventory			proposed
builtins-011	string	native startswith, endswith, literal split, explode, implode, and trim/ltrim/rtrim operations are independent of regex and require native string or Unicode value operations; regex split variants and splits are a separate regex-dependent surface.	upstream/jq/src/builtin.c	252-284,1274-1369	codex-facts-builtin-inventory			proposed
builtins-012	string-errors	Native literal split and explode reject non-string inputs; implode rejects non-arrays and non-numeric/NaN elements, truncates numeric elements to int, and replaces out-of-range or surrogate codepoints with U+FFFD; trim variants reject non-strings and trim jq's Unicode whitespace set.	upstream/jq/src/builtin.c	1274-1289,1292-1369	codex-facts-builtin-inventory			proposed
builtins-013	math	The libm builtin family is generated as unary, binary, ternary, or number-plus-integer-result wrappers; present functions require numeric arguments and return one value, while unavailable configured functions with *_NO wrappers return a named runtime error; jn and yn have no *_NO wrappers and are omitted when unavailable, making the exact exposed set platform/configuration dependent.	upstream/jq/src/builtin.c	139-226	codex-facts-builtin-inventory			proposed
builtins-014	input-output	input delegates to jq's input callback and converts callback exhaustion or a missing callback to the message "break" while preserving real callback errors; debug and stderr invoke distinct callbacks and return their input unchanged.	upstream/jq/src/builtin.c	1387-1416	codex-facts-builtin-inventory			proposed
builtins-015	environment	env discards its input and snapshots the process environment into one object, splitting each entry at the first equals sign and using null only for an entry with no equals sign; $ENV and env therefore depend on process environment integration.	upstream/jq/src/builtin.c	1224-1242	codex-facts-builtin-inventory			proposed
builtins-016	recursion	recurse emits the current input before recursively visiting each result of its step filter; the no-argument form uses optional iteration, and walk recursively transforms object values and array elements before applying its filter to the enclosing value. Root-level walk filters can emit multiple results, but object children pass through map_values update assignment and array children through map, so child branches do not uniformly propagate as multiple enclosing values.	upstream/jq/src/builtin.jq	36-39,212-221	codex-facts-builtin-inventory			proposed
builtins-017	fixture-coverage	Pinned jq fixtures cover scalar metadata and keys/has, conversion, collection, path value and path-expression behavior, ordering, non-regex strings, recursive helpers, and input/debug behavior.	upstream/jq/tests/jq.test	697-768,1101-1182,1486-1538,1635-1701,1757-1787,2293-2301,2358-2390	codex-facts-builtin-inventory			proposed
builtins-018	ordering-minmax	min/max helpers require same-length value and key arrays and return null for empty arrays; replacement is strict for min (first equal key) but max replaces on equality (last equal key), as selected by the signed comparison condition.	upstream/jq/src/builtin.c	1121-1167	codex-facts-builtin-inventory			proposed
builtins-019	input-stream	inputs repeatedly invokes input, suppresses only the internal "break" exhaustion message, and propagates every other caught error.	upstream/jq/src/builtin.jq	184-188	codex-facts-builtin-inventory			proposed
builtins-020	fixture-process-io	Pinned shell fixtures cover inputs preserving embedded NUL bytes and exercise the distinct debug and stderr process channels, including compact/raw stderr rendering order.	upstream/jq/tests/shtest	38-40,273-280	codex-facts-builtin-inventory			proposed
builtins-021	string-wrappers	jq-coded ltrimstr, rtrimstr, trimstr, join, and ASCII case helpers are independent of regex and compose slicing, iteration, arithmetic, and implode; regex match-based utilities remain in the regex batch.	upstream/jq/src/builtin.jq	65-68,77-79,80-130,190-194	codex-facts-builtin-inventory			proposed
