id	c_type	field	class	owner	release_rule	source_path	source_lines	author	reviewer_1	reviewer_2	status
json-own-001	jv_parser	curr_buf	borrowed buffer	caller	jv_parser_set_buf retains the pointer without copying; the caller must keep it valid until consumed, replaced, discarded after error, or parser release	upstream/jq/src/jv_parse.c	724-753,783-797,811-816	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-own-002	jv_parser	stack	owned buffer	jv_parser	reallocated by push and released by parser_free after each occupied jv slot is released by parser_reset	upstream/jq/src/jv_parse.c	98-123,146-154	yevbar			proposed
json-own-003	jv_parser	stack[]	owned jv values	jv_parser	new containers and object keys are transferred into stack slots; ordinary nested member values move from next into the array or object held by a stack slot; parser_reset releases remaining occupied slots, while closing containers move from stack into next	upstream/jq/src/jv_parse.c	98-114,146-154,170-235	yevbar			proposed
json-own-004	jv_parser	path	owned jv value	jv_parser	streaming initialization allocates it; reset releases and replaces it, and parser_free releases the final path	upstream/jq/src/jv_parse.c	69-76,98-123	yevbar			proposed
json-own-005	jv_parser	output	owned optional jv	jv_parser	streaming completion transfers it to the caller or slices it into a returned value plus retained follow-up state; reset releases any remainder	upstream/jq/src/jv_parse.c	98-108,593-613	yevbar			proposed
json-own-006	jv_parser	next	owned optional jv	jv_parser	value stores accepted input in next; ordinary parsing moves keys to stack, nested member values into stack-held containers, and closing containers back into next; ordinary completion transfers a top-level next to the caller, streaming moves next into path or output records later transferred to the caller, and reset releases any remainder	upstream/jq/src/jv_parse.c	98-114,125-143,170-235,285-407,583-613	yevbar			proposed
json-own-007	jv_parser	tokenbuf	owned buffer	jv_parser	tokenadd reallocates it as needed and parser_free releases it; completed tokens reuse the allocation after resetting tokenpos	upstream/jq/src/jv_parse.c	116-123,421-429,446-503	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-own-008	jv_parser	dtoa	owned context	jv_parser	parser_init initializes it and parser_free releases it	upstream/jq/src/jv_parse.c	57-57,69-96,116-123	yevbar			proposed
json-own-009	jv_parser_new	returned pointer	owned	caller	jv_parser_new allocates the parser; caller must pass it to jv_parser_free, which releases internal state and the parser allocation	upstream/jq/src/jv_parse.c	710-720	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-own-010	value	val	transferred	jv_parser.next, then parser-owned stack, container, path, or output; caller at completion	value releases val when rejecting a separator conflict; otherwise it stores val in next, from which ordinary parsing transfers object keys to stack and nested member values into the enclosing stack-held array or object before top-level completion transfers next to the caller, while streaming transfers keys into path and values into output records; parser reset releases any retained parser-owned destination after error	upstream/jq/src/jv_parse.c	98-114,125-143,170-235,285-407,583-613	yevbar			proposed
json-own-011	parse_check_done	out	transferred jv	caller	the parser moves next into out and replaces its slot with invalid	upstream/jq/src/jv_parse.c	583-591	yevbar			proposed
json-own-012	stream_check_done	out	transferred jv	caller	the parser constructs output with a path copy and moved next, or transfers/slices output while retaining only explicitly scheduled follow-up state	upstream/jq/src/jv_parse.c	593-613	yevbar			proposed
json-own-013	make_error	returned jv	owned	caller	the formatted string is transferred into either a stream-error array or an invalid message value; the caller receiving jv_parser_next must release it	upstream/jq/src/jv_parse.c	755-765,800-817	yevbar			proposed
json-own-014	jv_parser_next	returned jv	owned or message-less sentinel	caller	valid values and message-bearing invalids transfer ownership to the caller; a message-bearing invalid allocates a refcounted jvp_invalid that owns its error message and releases both on final free, while jv_invalid returns the immediate zero-pointer JV_INVALID value with no allocation	upstream/jq/src/jv_parse.c;upstream/jq/src/jv.c	755-860;118,142-160,184-189	yevbar	json-corrections-review-a	json-corrections-review-b	accepted
json-own-015	jv_parse_sized_custom_flags	value	owned return or local temporary	caller on return	extra-value and later-error paths release superseded values; parser state is always freed before the final value is returned	upstream/jq/src/jv_parse.c	864-900	yevbar			proposed
json-own-016	jv_parse_sized_custom_flags	string	borrowed sized buffer with NUL-accessible backing	caller	jv_parser_set_buf scans at most length bytes, but after parser_free every message-bearing invalid result is decorated by passing string as a %s argument through jv_string_fmt and jv_string_vfmt to vsnprintf; the caller must keep the backing valid throughout the call and ensure a NUL is reachable from string within accessible backing, normally at string[length]; an earlier embedded NUL truncates only the decorated input text, not the length-bounded parse	upstream/jq/src/jv_parse.c;upstream/jq/src/jv.c	69-123,730-753,767-900;149-180,1136-1144,1278-1291,1446-1449,1528-1556	yevbar			proposed
json-own-017	jv_dump_term	x	transferred printer input	printer	jv_dump_term recursively consumes x and releases it at the end of the term; jv_dumpf, jv_dump, and jv_dump_string transfer their input into that operation	upstream/jq/src/jv_print.c	218-218,284-301,312-394,404-406	yevbar			proposed
json-own-018	jv_dump_term	key	owned loop temporary	printer	sorted and native iteration return owned key copies; each key is released immediately after printing	upstream/jq/src/jv_print.c	320-360	yevbar			proposed
json-own-019	jv_dump_term	value	owned loop temporary	printer	object iteration returns an owned value copy and recursive jv_dump_term consumes it	upstream/jq/src/jv_print.c	320-345,370-382	yevbar			proposed
json-own-020	jv_dump_term	keyset	owned optional jv	printer	sorted output creates the key array on first iteration and releases it after its final index	upstream/jq/src/jv_print.c	318-335	yevbar			proposed
json-own-021	jv_dump_string	returned jv	owned	caller	the procedure allocates an output jv string, transfers the consumed input through jv_dump_term, and returns the output to the caller	upstream/jq/src/jv_print.c	404-408	yevbar			proposed
json-own-022	put_buf	strout	owned accumulating jv	caller-owned output slot	append replaces the slot with the returned string value; the enclosing jv_dump_string returns that final owned value	upstream/jq/src/jv_print.c	97-100,404-408	yevbar			proposed
json-own-023	global print state	colors_buf	owned reallocatable buffer	process-global print state	jq_set_colors frees it for an empty configuration or reallocates it for each valid non-empty configuration; either transition invalidates or moves prior colors[] aliases	upstream/jq/src/jv_print.c	38-38,65-80,91-93	yevbar			proposed
json-own-024	global print state	colors[]	borrowed aliases	default static strings or colors_buf	entries alias static defaults or slices inside colors_buf and are rewritten after colors_buf is freed or reallocated; they must not be freed independently or retained across configuration changes	upstream/jq/src/jv_print.c	30-38,65-80,91-93	yevbar			proposed
json-own-025	jv_dump_string_trunc	x	transferred printer input	printer	jv_dump_string consumes x, the truncation helper releases the temporary rendered string, and caller retains ownership of the supplied output buffer	upstream/jq/src/jv_print.c	404-424	yevbar			proposed
json-own-026	jv_dump_string_trunc	outbuf	borrowed mutable buffer	caller	the function writes and NUL-terminates within the supplied buffer and returns the same pointer without taking ownership	upstream/jq/src/jv_print.c	410-424	yevbar			proposed
json-own-027	jv_parser_set_buf	buf	borrowed	caller	the API records a possibly BOM-advanced alias into the caller buffer and allocates no replacement storage	upstream/jq/src/jv_parse.c	722-753	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-own-028	parser_reset	failure cleanup	owned parser state	jv_parser	parse errors release the provisional output, then parser_reset releases path/output/next/stack values and preserves reusable allocated buffers until parser_free	upstream/jq/src/jv_parse.c	98-123,800-817	yevbar	json-scalar-evidence-review-a	json-scalar-evidence-review-b	accepted
json-own-029	jv_show	x	borrowed	caller	jv_show passes a refcounted copy to jv_dumpf, so printer consumption releases the copy while the caller retains its input	upstream/jq/src/jv_print.c	396-402	yevbar			proposed
json-own-030	jv_parser	ordinary stack[]	owned jv containers	jv_parser	opening brackets and braces transfer fresh containers into stack slots; closing transfers the top slot into next; parser_reset releases every still-occupied slot and parser_free releases stack storage	upstream/jq/src/jv_parse.c	98-123,146-168,201-235	yevbar			proposed
json-own-031	parse_token	pending next	owned optional jv	jv_parser	value transfers an accepted scalar into next; comma or a matching closer transfers it into the current container and invalidates next; a separator conflict releases the rejected incoming value	upstream/jq/src/jv_parse.c	125-143,181-215	yevbar			proposed
json-own-032	jvp_array	elements[]	owned jv values	array backing	array set transfers the incoming value into one slot after releasing the displaced owner; final backing release walks and releases every initialized element exactly once	upstream/jq/src/jv.c	821-855,1018-1042	yevbar			proposed
