id	odin_type	field	class	owner	release_rule	source_path	source_lines	author	reviewer_1	reviewer_2	status
language-own-001	Parser	source	borrowed Source view	caller	caller retains exact Source name and byte backing unchanged until destroy_parser succeeds	src/syntax/parser.odin	78-118	codex-language-parser			proposed
language-own-002	Parser	scanner	owned address-stable Scanner	Parser	destroy_parser calls destroy_scanner first and preserves the parser for retry on genuine allocator Free failure	src/syntax/parser.odin	78-118,159-193	codex-language-parser			proposed
language-own-003	Parser	nodes	owned fallible node buffer	Parser	growth keeps old and replacement handles explicit until release transfers ownership; destroy_parser retries pending transfer and preserves every handle on genuine Free failure	src/syntax/parser.odin;src/syntax/fallible_buffer.odin	78-118,159-193;11-115	codex-language-parser-fixer			proposed
language-own-004	Node	span and name_span	borrowed source spans	Parser source borrow	spans own no bytes and become unusable when the caller ends the Source borrow	src/syntax/parser.odin	17-30	codex-language-parser			proposed
language-own-005	Parse_Outcome	root	borrowed arena index	Parser	valid only for Success and only until destroy_parser begins	src/syntax/parser.odin	60-68,121-143	codex-language-parser			proposed
language-own-006	parser_nodes	returned slice	borrowed arena view	Parser	caller must not free or retain the slice beyond parser destruction	src/syntax/parser.odin	145-151	codex-language-parser			proposed
language-own-007	Node	child and left/right	borrowed arena indices	Parser	indices own no storage and remain valid only while the Parser-owned node arena is queryable	src/syntax/parser.odin	17-30	codex-language-parser			proposed
language-own-008	Scanner	states	owned fallible lexer-state buffer	Scanner	growth retains both active and replacement allocations after old-block release failure; destroy_scanner retries transfer and cleanup with its captured allocator	src/syntax/package.odin;src/syntax/fallible_buffer.odin	126-190;11-115	codex-language-parser-fixer			proposed
language-own-009	Fallible_Buffer	replacement	conditional pending owner	containing Parser or Scanner	present only during Transfer_Pending; retry releases or retires storage before transferring replacement, and failures preserve both handles	src/syntax/fallible_buffer.odin	11-115	codex-language-parser-fixer			proposed
language-own-010	Node	number_text	owned exact-length Odin string	Parser	present only for a completed Number node; excludes the separately tokenized sign, remains valid independent of caller input until destroy_parser begins, then is released with the Parser allocator or retired under its bulk lifetime	src/syntax/parser.odin	21-40,88-104,203-219,490-519	codex-language-scalar-literals			proposed
language-own-011	Parser	pending_number_text	conditional malformed-allocation owner	Parser	present only when rejecting a short allocator success also encounters a genuine free failure; destroy_parser retries release before numeric nodes and arena storage	src/syntax/parser.odin	93-104,188-195,498-512	codex-language-scalar-literals			proposed
language-own-012	Parser	self	runtime address identity	Parser	all public Parser operations reject a live shallow copy before reading through, mutating, exposing, retrying, or freeing shared owned state; only the canonical initialized address may operate on ownership, while pre-initialization moves and initialization at a final heap address remain valid	src/syntax/parser.odin	109-292	codex-language-scalar-literals-identity-fixer			proposed
language-own-013	Node	string_text	owned independently allocated decoded Odin string view	Parser	present only for a completed String node; remains source-independent and length-delimited, may contain NUL, and is invalidated when destroy_parser begins; an empty view retains non-nil one-byte backing	src/syntax/parser.odin	23-42,783-876	codex-language-string-literals			proposed
language-own-014	Parser	string_allocations	private owned allocation registry	Parser	sole cleanup authority for decoded string backing; public Node headers are never consulted, and each successful release clears only its private record	src/syntax/parser.odin	116-136,299-322,783-876	codex-language-string-literals			proposed
language-own-015	Parser	pending_string_text	conditional malformed-allocation owner	Parser	present only when rejecting a nil/short string allocation also encounters a genuine free failure; destroy_parser retries it before registered strings and arena storage	src/syntax/parser.odin	127-136,266-273,827-845	codex-language-string-literals			proposed
language-own-016	Parse_Error	message	borrowed static diagnostic string	program image	owns no storage, is empty outside selected string failures, and requires no release	src/syntax/parser.odin	60-68,1170-1246	codex-language-string-literals			proposed
language-own-017	Node	operator_span	borrowed source span	Parser source borrow	present only for a completed Binary node, owns no bytes, and becomes unusable when the caller ends the exact Parser Source borrow	src/syntax/parser.odin	35-64	codex-language-binary-arithmetic			proposed
language-own-018	Parser	frames	owned fallible parse-frame buffer	Parser	growth keeps old and replacement allocations explicit until release transfers ownership; destroy_parser releases or retires the buffer with the captured allocator and preserves retryable owners on genuine free failure	src/syntax/parser.odin;src/syntax/fallible_buffer.odin	130-177,205-217,362-375;12-120	codex-language-binary-arithmetic			proposed
language-own-019	YYSTYPE.literal	IDENT, FIELD, BINDING, LITERAL, FORMAT, QQSTRING_TEXT	owned jv semantic values	parser action or token destructor	lexer creates each value-bearing token with a jv allocation; grammar actions consume or free the value, and the generated parser destructor frees discarded literal semantic values	upstream/jq/src/parser.y;upstream/jq/src/lexer.l	32-38,50-55,90-94;91-121,129-131	codex-facts-language-grammar-wave			proposed
language-own-020	DictPair	object key and value blocks	transferred block components	containing compiled object block	gen_dictpair receives the key and value blocks; explicit parser actions transfer those blocks into the returned pair, while parser error recovery returns a replacement block and jq_parse later frees the complete answer	upstream/jq/src/parser.y;upstream/jq/src/compile.c	888-945,956-970;235-237	codex-facts-language-grammar-wave			proposed
language-own-021	jq_parse	partial answer block	owned temporary parser result	jq_parse	jq_parse initializes a no-op answer, parser actions build into it, and any nonzero error count frees that answer and installs a new no-op before returning	upstream/jq/src/parser.y	956-970	codex-facts-language-grammar-wave			proposed
