id	c_type	field	class	owner	release_rule	source_path	source_lines	author	reviewer_1	reviewer_2	status
specialty-regex-own-001	f_match	input, regex, modifiers, testmode	transferred jv arguments	f_match	Every success and error path frees or transfers all four arguments before returning.	upstream/jq/src/builtin.c	910-989,1103-1117	codex-specialty-regex			proposed
specialty-regex-own-002	regex_t*	reg	owned foreign handle	one f_match invocation	A successful onig_new handle is released exactly once with onig_free after search completion; compile failure returns before ownership is acquired.	upstream/jq/src/builtin.c	915-917,979-989,1104-1109	codex-specialty-regex			proposed
specialty-regex-own-003	OnigRegion*	region	owned foreign handle	one f_match invocation	onig_region_new creates it, intermediate nonempty global matches clear region contents without freeing the handle, and final cleanup frees the handle and contents.	upstream/jq/src/builtin.c	917-917,995-995,1092-1105	codex-specialty-regex			proposed
specialty-regex-own-004	UChar span	pattern begin/end	borrowed immutable bytes	live regex jv	The length-delimited bytes are borrowed only during onig_new; regex remains live until compilation returns.	upstream/jq/src/builtin.c	979-987	codex-specialty-regex			proposed
specialty-regex-own-005	UChar span	input begin/end and search start	borrowed immutable bytes	live input jv	Oniguruma borrows length-delimited input bytes for each synchronous search; no pointer may escape f_match or outlive input.	upstream/jq/src/builtin.c	991-1000,1103-1108	codex-specialty-regex			proposed
specialty-regex-own-006	OnigRegion	beg/end arrays	borrowed foreign result spans	live region	jq copies matched bytes and scalar offsets before the next region clear or final free.	upstream/jq/src/builtin.c	1007-1092	codex-specialty-regex			proposed
specialty-regex-own-007	name callback	name/name_end and groups	borrowed callback views	live regex_t during onig_foreach_name	The callback copies name bytes into jv storage and retains no foreign pointer or group array.	upstream/jq/src/builtin.c	893-907	codex-specialty-regex			proposed
specialty-regex-own-008	UChar buffer	ebuf	stack-owned fixed buffer	f_match error branch	onig_error_code_to_str writes at most ONIG_MAX_ERROR_MESSAGE_LEN and jq copies it into an owned jv string before return.	upstream/jq/src/builtin.c	982-989,1095-1101	codex-specialty-regex			proposed
specialty-regex-own-009	jv	result	owned result under construction	f_match then caller	Successful return transfers the boolean or array; a search error frees the partial array before replacing it with an invalid message.	upstream/jq/src/builtin.c	990-990,1001-1005,1033-1033,1090-1109	codex-specialty-regex			proposed
specialty-regex-own-010	jv	captures and capture objects	owned aggregate under construction	match result object	Array/object setters and append operations transfer constructed values into the final result; the result tree owns their copied strings.	upstream/jq/src/builtin.c	1014-1033,1048-1090	codex-specialty-regex			proposed
specialty-module-own-001	jv	import dependency metadata	transferred to process_dependencies	process_dependencies	block_take_imports transfers the imports array, and dependency processing frees it on all normal and error exits.	upstream/jq/src/linker.c	243-250,275-325	codex-specialty-behavior-inventory			proposed
specialty-module-own-002	jv	resolved library path	transferred to load_library or freed by caller	process_dependencies	find_lib returns an owned path on success; duplicate cached paths are freed immediately, and load_library frees the path on its common exit.	upstream/jq/src/linker.c	272-317,331-378	codex-specialty-behavior-inventory			proposed
specialty-module-own-003	lib_loading_state	names and defs	owned loading cache	load_program	successful code-library paths are duplicated into names and blocks into defs; load_program frees both arrays and each cached name after dependency processing.	upstream/jq/src/linker.c	329-378,435-445	codex-specialty-behavior-inventory			proposed
specialty-codec-own-001	jv	f_format input and format	transferred	f_format	f_format frees or incorporates its input and format arguments on every codec branch; temporary decoded buffers are copied into a jv string before being freed.	upstream/jq/src/builtin.c	630-653,654-695,726-794	codex-specialty-behavior-inventory			proposed
specialty-codec-own-002	char*	base64 decode result	owned temporary	f_format	`@base64d` allocates a decode buffer, copies the produced byte span into a sized jv string, then frees the temporary buffer.	upstream/jq/src/builtin.c	749-790	codex-specialty-behavior-inventory			proposed
specialty-time-own-001	struct tm	f_strptime local value	stack-owned	f_strptime	strptime parses into a stack-local struct tm, converts it to a new jv array, and appends any suffix before freeing input strings.	upstream/jq/src/builtin.c	1558-1602	codex-specialty-behavior-inventory			proposed
specialty-time-own-002	char*	strftime buffer	owned temporary	f_strftime and f_strflocaltime	Each formatter allocates a bounded temporary buffer, copies it into a sized jv string, and frees the buffer on success or error.	upstream/jq/src/builtin.c	1766-1794,1816-1829	codex-specialty-behavior-inventory			proposed
specialty-time-own-003	char*	TZ snapshot	owned temporary	f_strftime on Apple / my_mktime	Apple formatting and the fallback mktime path duplicate TZ, restore or clear the environment, and free the duplicate.	upstream/jq/src/builtin.c	1482-1492,1770-1785	codex-specialty-behavior-inventory			proposed
